"store_id","film_id","count","returning_date","amount","rental_rank"
1,698,"1","2005-06-18 08:15:27","2.99","1"
1,848,"1","2005-06-19 06:56:52","1.99","2"
1,953,"1","2005-06-19 16:50:15","1.99","3"
1,778,"1","2005-06-19 19:22:18","5.99","4"
1,704,"2","2005-06-20 02:55:55","2.99","5"
1,436,"1","2005-06-20 14:26:57","1.99","6"
1,649,"1","2005-06-20 20:32:39","3.99","7"
1,481,"1","2005-06-21 00:04:02","4.99","8"
1,179,"1","2005-06-21 00:59:37","5.99","9"
1,581,"1","2005-06-21 02:10:51","2.99","10"
1,482,"1","2005-06-21 02:59:39","3.99","11"
1,341,"1","2005-06-21 04:06:27","1.99","12"
1,738,"1","2005-06-21 07:26:18","3.99","13"
1,777,"1","2005-06-21 14:48:56","5.99","14"
1,907,"1","2005-06-21 20:02:30","1.99","15"
1,596,"1","2005-06-21 21:42:37","6.99","16"
1,686,"1","2005-06-21 22:44:01","5.99","17"
1,775,"1","2005-06-21 22:51:50","5.99","18"
1,35,"1","2005-06-22 01:25:57","4.99","19"
1,916,"1","2005-06-22 03:36:37","6.99","20"
1,179,"1","2005-06-22 04:57:07","7.99","21"
1,327,"1","2005-06-22 11:38:30","5.99","22"
1,736,"1","2005-06-22 12:30:54","3.99","23"
1,247,"1","2005-06-22 13:52:30","3.99","24"
1,30,"1","2005-06-22 15:26:24","4.99","25"
1,140,"1","2005-06-22 19:23:05","1.99","26"
1,227,"3","2005-06-22 19:51:45","4.99","27"
1,48,"1","2005-06-22 20:58:17","4.99","28"
1,966,"2","2005-06-22 22:49:58","0.99","29"
1,807,"1","2005-06-22 23:05:30","3.99","30"
1,979,"1","2005-06-23 01:08:08","6.99","31"
1,611,"1","2005-06-23 02:42:12","5.99","32"
1,728,"1","2005-06-23 02:45:55","5.99","33"
1,951,"1","2005-06-23 03:11:40","2.99","34"
1,106,"1","2005-06-23 03:16:12","4.99","35"
1,953,"1","2005-06-23 05:26:16","3.99","36"
1,301,"1","2005-06-23 12:47:29","3.99","37"
